Codigo,Componente,Nombre_Componente
57615,CPS0019,CONSUMO DE LAMINADO
57615,57559,LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G60 ARP
57616,CPS0019,CONSUMO DE LAMINADO
57616,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57617,CPS0019,CONSUMO DE LAMINADO
57617,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57618,CPS0019,CONSUMO DE LAMINADO
57618,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57619,CPS0019,CONSUMO DE LAMINADO
57619,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57620,CPS0019,CONSUMO DE LAMINADO
57620,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57621,CPS0019,CONSUMO DE LAMINADO
57621,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57622,CPS0019,CONSUMO DE LAMINADO
57622,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57623,CPS0019,CONSUMO DE LAMINADO
57623,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57624,CPS0019,CONSUMO DE LAMINADO
57624,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57625,CPS0019,CONSUMO DE LAMINADO
57625,58929,LAMINADO 333MM PAPEL TERMICO T70-PH-ECO-G60 ARP
57626,CPS0019,CONSUMO DE LAMINADO
57626,58929,LAMINADO 333MM PAPEL TERMICO T70-PH-ECO-G60 ARP
57627,CPS0019,CONSUMO DE LAMINADO
57627,57373,LAMINADO 300MM PP BCO BTE PPBB60-P ARP
57628,CPS0019,CONSUMO DE LAMINADO
57628,57373,LAMINADO 300MM PP BCO BTE PPBB60-P ARP
57632,CPS0019,CONSUMO DE LAMINADO
57632,54226,LAMINADO 200MM PP  BCO. SY1071H RP37 EXACTO UPM
57634,CPS0019,CONSUMO DE LAMINADO
57634,45856,LAMINADO 330MM PAPEL SEMIBRILLO 6770 80 GR AP 904 RI
57635,CPS0019,CONSUMO DE LAMINADO
57635,51557,LAMINADO FILM PETG 280 MM 45 MIC
57636,CPS0019,CONSUMO DE LAMINADO
57636,51557,LAMINADO FILM PETG 280 MM 45 MIC
57637,CPS0019,CONSUMO DE LAMINADO
57637,51557,LAMINADO FILM PETG 280 MM 45 MIC
57638,CPS0019,CONSUMO DE LAMINADO
57638,51557,LAMINADO FILM PETG 280 MM 45 MIC
57642,CPS0019,CONSUMO DE LAMINADO
57642,57374,LAMINADO 330MM PP BCO BTE PPBB60-P ARP
57644,CPS0019,CONSUMO DE LAMINADO
57644,55734,LAMINADO FOLIA PLATA COLDFOIL 120 MM COR
57644,48647,LAMINADO FILM PETG 330 MM 45 MIC
57645,CPS0019,CONSUMO DE LAMINADO
57645,55734,LAMINADO FOLIA PLATA COLDFOIL 120 MM COR
57645,48647,LAMINADO FILM PETG 330 MM 45 MIC
57646,43973,LAMINADO 110MM PAPEL SINTETICO 200 micras MIC
57646,CPS0019,CONSUMO DE LAMINADO
57647,43973,LAMINADO 110MM PAPEL SINTETICO 200 micras MIC
57647,CPS0019,CONSUMO DE LAMINADO
57651,CPS0019,CONSUMO DE LAMINADO
57651,57559,LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G60 ARP
57652,CPS0019,CONSUMO DE LAMINADO
57652,50047,LAMINADO 330MM PAPEL BRILLANTE INKJET 7978 AP904
57653,CPS0019,CONSUMO DE LAMINADO
57653,51557,LAMINADO FILM PETG 280 MM 45 MIC
57657,CPS0019,CONSUMO DE LAMINADO
57657,50754,LAMINADO 320MM PPDL54P4 OPTIMA MATE 2 G60 (F9CG3 ) MIC
57657,50136,LAMINADO CINTA P/LAMINAR  PP TRANSP. 320MM OLPP24-MATE-º1500º
57659,CPS0019,CONSUMO DE LAMINADO
57659,54022,LAMINADO 110MM PAPEL TRANSFER PREMIUM EXTRA / RP51 / WHITE KRAFT 65 UPM
57660,CPS0019,CONSUMO DE LAMINADO
57660,54022,LAMINADO 110MM PAPEL TRANSFER PREMIUM EXTRA / RP51 / WHITE KRAFT 65 UPM
57663,CPS0019,CONSUMO DE LAMINADO
57663,54022,LAMINADO 110MM PAPEL TRANSFER PREMIUM EXTRA / RP51 / WHITE KRAFT 65 UPM
57668,CPS0019,CONSUMO DE LAMINADO
57668,46344,LAMINADO 160MM PPBB60-P1-G62S (Samson)
57669,CPS0019,CONSUMO DE LAMINADO
57669,46145,LAMINADO 110MM PPBB60-P1-G62S
57670,46145,LAMINADO 110MM PPBB60-P1-G62S
57670,CPS0019,CONSUMO DE LAMINADO
57671,CPS0019,CONSUMO DE LAMINADO
57671,46344,LAMINADO 160MM PPBB60-P1-G62S (Samson)
57672,CPS0019,CONSUMO DE LAMINADO
57672,46344,LAMINADO 160MM PPBB60-P1-G62S (Samson)
57673,46145,LAMINADO 110MM PPBB60-P1-G62S
57673,CPS0019,CONSUMO DE LAMINADO
57679,CPS0019,CONSUMO DE LAMINADO
57679,54314,LAMINADO 167 WINEGLASS (MANUAL) 10939 RI
57680,CPS0019,CONSUMO DE LAMINADO
57680,53511,LAMINADO 330 MM PPDL54P1 OPTIMA MATE G60 ARC
57680,46148,LAMINADO 330MM PPBB60-P1-G62S
57684,CPS0019,CONSUMO DE LAMINADO
57684,50359,LAMINADO FILM PETG 240 MM 45 MIC
57685,CPS0019,CONSUMO DE LAMINADO
57685,50359,LAMINADO FILM PETG 240 MM 45 MIC
57686,CPS0019,CONSUMO DE LAMINADO
57686,50359,LAMINADO FILM PETG 240 MM 45 MIC
57687,CPS0019,CONSUMO DE LAMINADO
57687,50359,LAMINADO FILM PETG 240 MM 45 MIC
57688,CPS0019,CONSUMO DE LAMINADO
57688,50359,LAMINADO FILM PETG 240 MM 45 MIC
57689,CPS0019,CONSUMO DE LAMINADO
57689,56778,LAMINADO 330MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
57690,CPS0019,CONSUMO DE LAMINADO
57690,56778,LAMINADO 330MM PAPEL SEMIBRILLO L80-P6H-G62S ARC
57691,CPS0019,CONSUMO DE LAMINADO
57691,50359,LAMINADO FILM PETG 240 MM 45 MIC
57692,CPS0019,CONSUMO DE LAMINADO
57692,54024,LAMINADO 330MM PAPEL TRANSFER PREMIUM EXTRA / RP51 / WHITE KRAFT 65 UPM
57693,CPS0019,CONSUMO DE LAMINADO
57693,46452,LAMINADO 300MM PAPEL SEMIBRILLO 6770 80 GR AP 904 RI
57694,CPS0019,CONSUMO DE LAMINADO
57694,53511,LAMINADO 330 MM PPDL54P1 OPTIMA MATE G60 ARC
57694,46148,LAMINADO 330MM PPBB60-P1-G62S
57697,CPS0019,CONSUMO DE LAMINADO
57697,54080,LAMINADO 200MM PP METALIZADO PLATA BRILLANTE RP37 UPM
57698,CPS0019,CONSUMO DE LAMINADO
57698,54081,LAMINADO 250MM BOPP  METALIZADO PLATA BRILLANTE RP37UPM
57702,CPS0019,CONSUMO DE LAMINADO
57702,46118,LAMINADO 300MM PPBB60-P1-G62S
57703,CPS0019,CONSUMO DE LAMINADO
57703,56392,LAMINADO 330MM WHITE COVER
57704,CPS0019,CONSUMO DE LAMINADO
57704,50359,LAMINADO FILM PETG 240 MM 45 MIC
57705,CPS0019,CONSUMO DE LAMINADO
57705,46148,LAMINADO 330MM PPBB60-P1-G62S
57712,CPS0019,CONSUMO DE LAMINADO
57712,50359,LAMINADO FILM PETG 240 MM 45 MIC
57713,CPS0019,CONSUMO DE LAMINADO
57713,50359,LAMINADO FILM PETG 240 MM 45 MIC
57714,CPS0019,CONSUMO DE LAMINADO
57714,50359,LAMINADO FILM PETG 240 MM 45 MIC
57716,CPS0019,CONSUMO DE LAMINADO
57716,53291,LAMINADO 320MM BLACKCOVER II  80 GR AE500 GL62 INNO 2
57717,43860,LAMINADO 330MM PP BCO BTE P4 38M G58 ARC
57717,50136,LAMINADO CINTA P/LAMINAR  PP TRANSP. 320MM OLPP24-MATE-º1500º
57717,CPS0019,CONSUMO DE LAMINADO
57718,43860,LAMINADO 330MM PP BCO BTE P4 38M G58 ARC
57718,CPS0019,CONSUMO DE LAMINADO
57718,50136,LAMINADO CINTA P/LAMINAR  PP TRANSP. 320MM OLPP24-MATE-º1500º
57719,43860,LAMINADO 330MM PP BCO BTE P4 38M G58 ARC
57719,CPS0019,CONSUMO DE LAMINADO
57719,50136,LAMINADO CINTA P/LAMINAR  PP TRANSP. 320MM OLPP24-MATE-º1500º
57720,43860,LAMINADO 330MM PP BCO BTE P4 38M G58 ARC
57720,CPS0019,CONSUMO DE LAMINADO
57720,50136,LAMINADO CINTA P/LAMINAR  PP TRANSP. 320MM OLPP24-MATE-º1500º
57721,CPS0019,CONSUMO DE LAMINADO
57721,49668,LAMINADO 200MM PP TRANSP.51MC RP37
57722,CPS0019,CONSUMO DE LAMINADO
57722,59025,LAMINADO 330MM PP BCO MATE PPDL54-FH G60 ARP
57723,CPS0019,CONSUMO DE LAMINADO
